content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
¿Puede ser más triste a estas alturas el espectáculo de este impresentable? Gracias a los ingenuos que votaron por él esperando que les diera “más trabajo”.,0.13,0,0.37,0,0,0.17,0,0,0,0.42,0,0.19,0,0.2,0,0,0.17,0,0,0
"algunos chilenos pagan sus errores con cárcel, otros con clases de ética, Piñera no paga nada, y nunca ha pagado nada .... PINOCHEQUES se fue sin pagar, esperemos que Piñera por lo menos tenga por lo bajo una reclusión nocturna, o algo que nos haga pensar al común de los mortales que en Chile, la justicia también despertó, aún que sea ilusionarse mucho, no pierdo la fe.",0.12,0,0.17,0.2,0.2,0.15,1.09,0,0.16,0.38,0.72,0,0.17,0.18,0,0.66,0.15,0.86,0.16,0
Perdon .......Solo fue a tomarse una fo to a plaza dig nidad............perdón fue a com prar un vi no a Vitacura en hora de to que de queda....perdon fue a una selfie a la playa..........excuse fue a comerse una pi zza a providencia.........mientras que maban el metro.........perdón,0.49,0.63,0.88,0.21,1.04,0.63,0.19,0.23,0.17,0,0,0,0.69,0,0,0.55,0,0,0,0
"con todo respeto, vaya a la..........",0,0,0.22,0,0.27,0,0.24,0,0,0.25,0,0.23,0,0.24,0,0.17,0,0,0,0
"La mascarilla sirve principalmente cuando se está en un recinto cerrado, rodeado de personas, donde todos comparten y respiran el mismo aire. PERO en un playa ABIERTA, con personas bien distantes de uno, y rodeado de aire puro y salino,...yo creo que el uso de la mascarilla es tontera.",0.25,0,0,0.21,0.21,0,0,0,0,0.4,0.15,0,0.35,0.19,0.3,0.28,0.33,0,0,0
ES EL CASO DE QUINTERO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"...Claro que en el caso de Quintero, allí todos sus habitantes deberían usar SIEMPRE mascarillas (con el covid o sin el covid), ...pórque alli viven con las continuas e intoxicantes contaminaciones de las industrias alrededor.",0.12,0,0,0,0,0,0.18,0.22,0,0.19,0,0.17,0.33,0.18,0,0.13,0,0,0,0
"Cuando ha cumplido con las leyes y respetuso con las normas, entonces no nos entrañemos con lo que hace y sigue haciendo, ""Patrón de Fundo",0,0,0,0.2,0,0,0,0.21,0,0,0.14,0.17,0,0,0,0,0,0.21,0,0
"Con o sin cuarentenas todos podemos sacarnos la mascarilla en calles poco transitadas y ponérnosla cuando nos acerquemos a otras personas y eso se da mucho en mayores de edad que tienen más problemas para respirar, sobre todo en horas de mucho calor. No hay ninguna norma sanitaria que lo prohíba. Lo suyo es propio de zur dos contumaces y expertos en ASESINATO DE IMAGEN Y EN MENTIR, MENTIR....",0,0,0,0.2,0,0,0.18,0,0,0,0.29,0.17,0.17,0.18,0.14,0.13,0.31,0.44,0,0.8
"Aprovechan cualquier oportunidad para criticar a Piñera. No lo defiendo y tampoco es de mi agrado, pero quien se pone mascarilla para pasear por la playa ?",0.25,0,0,0.22,0.4,0,0.59,0.23,0.16,0.2,0.45,0.36,0.18,0.56,0,0.58,0.16,0.65,0.17,0
CARECE DE TODA SERIEDAD SU COMENTARIO EN BOLIVIA NO HAY PLAYAS .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estas equivocado, hay playas de ríos y también de estacionamiento.",0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
y el Titicaca?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERES TU NOHAYMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el tema para la gente burra como tu es que se obliga a los 19 millones a no salir y usarla mientras que el presidente hace lo contrario, el tema son las señales que manda la autoridad, en este caso el presidente del pais, pero como es tan 4weonao , sabe que los 19 millones lo están mirando , de los cuales solo el 13 % lo defiende y sale igual en publico como no debe. Espérate que en una semana mas la gente común quiera ir a pasearse aun una paya, no te van a dejar pasar antes del peaje.",0.12,0,0.33,0.39,0.2,0.15,0.36,0.43,0.16,0.19,0.42,0.17,0.16,0.18,0,0.13,0.46,0.21,0.31,0.52
Si se mete al mar a para desgracia para nosotros los de derecha es que los tiburones no son coprófagos.,0,0,0,0.2,0,0.16,0,0,0,0,0.29,0,0.17,0.36,0,0.28,0,0.43,0.16,0.28
"A propósito de torniquetes, ¿cuántos se ha saltado este patán?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incontables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E INTOCABLES ENTRE BUEYES.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Da lo mismo ! Vengan a viña o Valpo todo el mundo sin mascarilla en la playa ! Puro show...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ya pero será necesario que el show corra por cuenta del Presidente?...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algo verdadero que salga de un mentiroso.,0.15,0,0,0,0.26,0.19,0,0,0,0.24,0,0,0,0,0,0,0,0,0.2,0.29
Lo más patético de todo es que CNN CHILE corrió a entrevistar al alcalde Jadue para que suelte su estercolera.,0,0,0.18,0,0,0,0,0,0,0,0.15,0,0,0.19,0,0.15,0,0.22,0,0.3
"ES ALCALDESA JADUE, FUTURA PRESIDENTA DEL MOVILH.-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERO SOMOS PUEBLO 80 &,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"¿Y que dice la izquierda de los bailes nocturnos en Plaza Ñuñoa, de los vándalos ""manifestantes"" de la Plaza Baquedano?, ninguno con mascarilla.",0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.15,0,0.16,0.26
LO TOMADO Y LO BAILADO NO SE LOS QUITA NADIE .SALUD.,0.13,0,0,0.23,0,0,0,0,0,0.2,0,0.19,0,0.19,0,0.15,0.17,0,0.17,0
"deja las drogas, PERDEDOR.",0,0,0,0,0,0.19,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
