content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
No se preocupe don sebastián.el error fue de nosotros los chilenos al haberlo elegido.,0.37,0.64,0.89,0.42,0.42,0.48,0.57,0.45,0.5,0,0.45,0.18,0.17,0.19,0.29,0.28,0.65,0.46,0.67,0.54
tuyo. no me metas a tusaco ( de w),0.12,0.15,0.33,0.2,0.2,0,0.54,0.21,0,0.19,0,0,0.16,0.18,0.14,0.13,0.3,0,0.47,0.26
Me sumo. No soy cómplice de tener a este nefasto personaje.,0.25,0.33,0.54,0.64,0,0.33,0.39,0.46,0.34,0,0.31,0.19,0.18,0.39,0.15,0.29,0.33,0.23,0.17,0.54
LA MANGA DE CINICOS QLOOS ANDAN TODO EL DIA SIN MASCARILLA PERO COMO SALE PIÑERA SIN ELLA LOS FALITE DE MIIIERRDA SE ESPANTAN VAYANSE A LA CHU CHA DELINCUENTES QLOOOS,0.5,0,0.52,0.86,0.6,0.16,1.51,0.22,0.16,0.79,0.59,0.18,0,0.56,0.43,0.29,0.48,0.43,0.33,4.03
"Recuerda que la otra opción era guillie, siempre votamos por el mal menor.",0.14,0.18,0.19,0.24,0.42,0.18,0.85,0,0,0.42,0,0,0.58,0.2,0.31,0.32,0.34,0.23,0.35,0.64
"De los chilenos lesos que lo eligieron, no se esconda en la masa.",0.12,0.15,0.33,0.2,0,0.3,0.36,0,0.31,0,0,0,0.33,0.18,0.27,0,0.15,0.42,0.31,0.26
"El granuja, el pillo, el ladronzuelo, el especulador financiero, el peor de todos, el representante del 0.00000001 % hace lo quiere y cuando se le pare la R A J A luego se excusa, reconoce falsamente y aquí no ha pasado nada.",0.61,0,0.34,1.26,0.4,0.16,1.52,0.88,0.32,0.97,0.44,0.35,0.69,1.29,0.71,0.7,0.47,0.65,0.98,3.1
"Algunos de la muchedumbre que corrieron a saludarlo y pedirle fotos, dicen que lo reconocieron desde lejos por su ¨cabeza de ajo¨....",0.54,0.18,0.78,0.92,0.71,0.35,1.06,1.01,0.38,1.33,0.5,0.6,0.96,0.84,0.81,0.77,1.08,0.26,0.56,0.28
"Piñera cometio un error ahora, cometió un error cuando se fotografió en Plaza Italia, en otras palabras estamos gobernados por un tara...do!",0.76,0.33,0.71,1.54,0.81,0.51,1.58,1.59,0.81,1.2,1.05,1.27,1.08,0.94,0.58,0.74,1.13,1.53,0.5,0
"La otra vez comprandole copete ala vieja en cuarentena sin mascarillas,ahora en la playa sin mascarillas,eso se le olvida,pero para triangular con habitat,evadir pago de contribuciones,crear empresas falsas,criar hijos delincuentes,pucha que tiene memoria.",0.61,0.8,1.55,1.05,0.8,0.8,1.33,0.66,0.95,1.16,0.73,0.71,1.04,0.55,0.43,0,0.95,1.73,0.81,1.13
"pero siempre lo ha sido. y el 29% real que voto x el igual. menos mal que habemos un 71% normal, algunos flojos que no fueron a votar pero en fin, yo creo que aprendieron",0.74,0.64,0.87,1.06,0.6,0.81,1.54,1.34,0.64,0.59,0.44,0.36,1.22,0.37,1,0.57,1.11,0.87,0.82,0
Franco te manda saludos desde su vaticarro.,0.15,0.39,0.43,0.5,0.26,0.38,0.23,0.27,0.21,0.72,0.18,0.22,0,0.46,0.35,0.34,0.39,0.28,0.4,0.29
Bracitos cortos tiene tan poca inteligencia que es realmente difícil comprender cómo pudo amasar su fortuna.,0.26,0.67,0.93,0.88,1.35,0.67,0.6,0.24,0.53,0.42,0.79,0.57,0.73,0.6,0.15,0.44,0.68,0.73,0.88,0
"algunos chilenos pagan sus errores con cárcel, otros con clases de ética, Piñera no paga nada, y nunca ha pagado nada .... PINOCHEQUES se fue sin pagar, esperemos que Piñera por lo menos tenga por lo bajo una reclusión nocturna, o algo que nos haga pensar al común de los mortales que en Chile, la justicia también despertó, aún que sea ilusionarse mucho, no pierdo la fe.",1.28,1.98,1.85,1.98,2.98,2.27,3.63,1.08,1.58,2.47,1.43,1.73,3.14,1.08,2.09,1.33,1.85,2.15,2.23,1.58
"A hecho su fortuna usando información privilegiada,el no crea empleos como los Matte,Angelini,Luksic,Piñera es un especulador de la bolsa y tiene todo un séquito detrás pendiente de las acciones,jamas a sabido lo que es dar empleo y tener una empresa con trabajadores.",0.47,1.07,1.53,2.19,1.2,0.91,1.83,0.44,1.43,2.29,1.15,0.35,0.5,1.63,1.12,0.27,0.78,1.08,1.44,1.59
"Porque en Chile, desde la llegada de los españoles, el crimen de paga...y muy bien.",0.38,0.33,0.35,0.66,0.4,0.5,0.59,0,0,0.6,0.3,0,0.18,0.56,0,0.29,0.48,0.44,0.5,0.59
En buen chileno... choriando.,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0.4,0,0
"Porque en Chile, desde la llegada de los españoles, el crimen paga...y muy bien.",0.25,0.17,0.35,0.44,0.41,0.51,0.59,0,0,0.4,0.3,0,0,0.38,0,0.3,0.49,0.44,0.5,0.59
"todos sabemos que el presidente se pasa por cierta parte todas las leyes ,total tiene un sequito de gente que sale a explicar lo inexplicable ,esto no es nada nuevo y seguro tampoco la ultima vez que se rie de lagente",0.24,1.27,1.89,1.46,1.39,0.8,2.27,1.1,0.79,0.78,0.44,0.7,1.21,0.55,1.42,0.42,1.42,0.43,1.79,1.69
"No sé de qué se extrañan. Soy Sebastián Piñera, dos veces Presidente de la República y multimillonario, con una fortuna de tres mil millones de doláres, ingeniero comercial de la Ponticuica y doctor en economía en Harvard, mientras ustedes, muertos de hambre, no tienen ni cómo llegar a fin de mes. En resumen: hago lo que me da la gana y qué.",1.27,1.5,1.66,2.73,1.95,1.19,3.4,2.34,1.09,2.62,1.41,0.85,2.28,2.12,1.78,1.31,2.28,1.9,1.26,1.57
Tal cual. Y sigue explotando a la clase media trabajadora.,0,0,0.33,0.59,0.2,0,0.36,0.21,0.16,0.19,0.14,0.34,0,0.18,0,0,0,0.84,0.31,0
Para que no sienta envidia intente lograr algo.,0.14,0,0,0.24,0,0.19,0.64,0.24,0,0.21,0,0,0.39,0,0.15,0,0.34,0,0,0.33
PERO EN BUENA LID Y CON BUENAS ARTES. COSAS QUE TU IDOLO NO CONOCE.,0.49,0.21,0.24,0.56,0.3,0.21,0.66,0.3,0.47,0.27,0,0.24,0.93,0,0.2,0.37,0.22,0.64,0.22,0.61
Multa pa ese aweo. nado,0.23,0.15,0.17,0.2,0,0.3,0.18,0.21,0,0,0,0,0.16,0,0.14,0,0.15,0,0,0.26
"Lamenta profundamente? Que mentira, si saben perfectamente que el plan este de esclavizar a la población privarla de libertades, es para los demás, no para ellos, eso está claro, y esto es una muestra de eso,",1,0.32,1.26,1.06,0.86,0.65,3.1,2.08,0.85,1.01,0.61,0.74,1.77,0.77,1.04,0.71,0.82,0.7,0.34,1.35
"Tanto escándalo por pasear por la playa sin mascarilla, lugar abierto, ventilado y a una hora casi sin personas....los adversarios ya molestan por molestar, es bullying....gente ociosa, ridícula.",0.78,0.68,1.26,1.59,0.82,1.04,2.03,0.92,0.33,2.03,0.61,0.55,0.18,0.77,0.74,0.76,0.82,0.44,0.85,1.53
Más ridículo es defender un desatino inaceptable. El presidente debe ser paradigma del ejemplo.,0.36,0,0.34,1.04,0.4,0.32,0.38,0.66,0.16,0.58,0.29,0.18,0,0.55,0.28,0.42,0.16,0.22,0.33,1.12
¿Puede ser más triste a estas alturas el espectáculo de este impresentable? Gracias a los ingenuos que votaron por él esperando que les diera “más trabajo”.,0.26,0.33,0.74,0.65,0.67,0.83,0.8,0.71,0,1.04,0,0,0.91,0.39,0.46,0,0.68,0.24,0.7,0.82
"algunos chilenos pagan sus errores con cárcel, otros con clases de ética, Piñera no paga nada, y nunca ha pagado nada .... PINOCHEQUES se fue sin pagar, esperemos que Piñera por lo menos tenga por lo bajo una reclusión nocturna, o algo que nos haga pensar al común de los mortales que en Chile, la justicia también despertó, aún que sea ilusionarse mucho, no pierdo la fe.",1.28,1.98,1.85,1.98,2.98,2.27,3.63,1.08,1.58,2.47,1.43,1.73,3.14,1.08,2.09,1.33,1.85,2.15,2.23,1.58
Perdon .......Solo fue a tomarse una fo to a plaza dig nidad............perdón fue a com prar un vi no a Vitacura en hora de to que de queda....perdon fue a una selfie a la playa..........excuse fue a comerse una pi zza a providencia.........mientras que maban el metro.........perdón,1.7,1.11,1.76,2.27,2.09,0.63,3.98,2.48,1.82,2.37,2.24,1.08,1.72,1.87,1.01,1.11,0.96,2.03,2.16,1.34
"con todo respeto, vaya a la..........",0,0.2,0.44,0,0.27,0.2,0.24,0,0.22,0.75,0,0,0,0.24,0.18,0,0,0.59,0.42,0
"La mascarilla sirve principalmente cuando se está en un recinto cerrado, rodeado de personas, donde todos comparten y respiran el mismo aire. PERO en un playa ABIERTA, con personas bien distantes de uno, y rodeado de aire puro y salino,...yo creo que el uso de la mascarilla es tontera.",1.49,1.13,2.33,2.74,1.5,1.93,2.71,0.92,1.53,1.62,1.22,1.1,1.41,1.53,1.33,1.7,1.48,1.39,1.19,0.81
ES EL CASO DE QUINTERO.,0,0.15,0.17,0.39,0,0,0.23,0.21,0,0,0,0.17,0.16,0.18,0.14,0.13,0.3,0,0.16,0
"...Claro que en el caso de Quintero, allí todos sus habitantes deberían usar SIEMPRE mascarillas (con el covid o sin el covid), ...pórque alli viven con las continuas e intoxicantes contaminaciones de las industrias alrededor.",0.35,0.77,0.84,1.2,1.18,1.07,1.28,0.86,0.78,0.76,0.43,0.34,1.33,1.08,0.69,0.4,1.7,0.85,0.96,0.81
"Cuando ha cumplido con las leyes y respetuso con las normas, entonces no nos entrañemos con lo que hace y sigue haciendo, ""Patrón de Fundo",0.35,0.6,0.66,0.59,0.78,0.45,1.61,0.43,0.78,0.19,0.42,0.17,1.3,0.18,0.69,0.52,0.76,0.63,0.79,0.79
