content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
Documental muy interesante! sigan subiendo mas!,0,0,0,0.23,0,0,0.21,0,0,0.22,0,0,0,0.21,0,0,0,0,0,0
culian entre parientes xd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pobre gente que sigue a una sola persona como ganado,privando a los niños de aprendizaje , y a todos a vivir en la ignorancia,negar el desarrollo es quedar en el camino.Suerte y salud porque la van a necesitar !!!",0.12,0.32,0.54,0.63,0.43,0.16,0.77,0.46,0.51,0.6,0.15,0.18,0.53,0.38,0.15,0.14,0.49,0.46,0.34,0.27
"Todo bien, pero como que no hay suficientes construcciones. Su ideología + tecnología = podría ser un paraíso como el de Dexter del dibujo.",0.25,0.16,0.36,0.21,0.22,0.33,0.2,0,0.17,0.2,0,0,0.18,0.39,0.15,0.14,0.17,0.23,0.17,0.27
Esto es lo más parecido a una Secta ! Lamentable !,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0
Pobres,0,0.39,0,0,0.31,0,0,0,0,0.37,0,0,0.42,0,0,0,0,0.34,0,0
Tremenda chata de los menonitas y yo andando en bici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estos se parecen mucho a los judios jasidicos, viven de forma muy parecida con la unica diferencia de que estos ni te miran a los ojos ni puedes grabar a profundidad porque son ultraortoxos. Les recomiendo que investiguen, es muy interesante tambien.",0,0,0,0.2,0,0,0.18,0,0,0.19,0,0,0,0.18,0,0,0,0,0,0
"Porq a la fente no le gusta ir hacia delante, en vez de mejorar les gusta quedarse atrancados",0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.16,0,0,0.23,0,0
Un documental de ignorancia !,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estas comunidades son cunas de la pedofilia, violaciones y abuso. O porque creen que les gusta estar lejos de los demás?? Ya muchos casos se an reportado.",0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.38,0,0,0,0,0,0.6
"Tres idiomas al menos habla el padre de la familia, para no haber salido casi nunca de su comunidad y sin contacto con el mundo extrerior, estoy muy sorprendida",0,0.16,0,0,0.2,0.15,0,0,0.16,0.19,0.15,0,0,0.18,0,0.14,0,0.22,0,0
No entiendo como los gobiernos permiten asentamientos de estas comunidades que no se adaptan a la cultura de los paises donde viven.,0.14,0.18,0,0.24,0.21,0.18,0.21,0.24,0,0.21,0.16,0.19,0,0.2,0,0.16,0,0.23,0.17,0
Se miran bien relajados sin el correr de la vida y el trabajo,0,0,0.19,0,0,0.17,0,0,0.18,0,0,0,0,0,0.16,0,0.18,0,0,0
siempre cuan do no tengo nada que hacer veo estos documentales en especial los de dw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiene que actualizar a los menonitas quieran o no. Porque va a pasar la empresa de modernización y no creo que los menonitas tenga un buen abogado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0
amo este canal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es muy interesante su cultura de los menonitas,0,0,0,0.22,0,0,0.2,0,0,0.21,0,0,0,0.2,0,0,0,0,0,0
Y VIAJAN EN AVION. NO ENTIENDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Literal esto es una secta, señores",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y como saben lo que es una computadora, celular etc etc?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
