content,asertividad,autoconciencia emocional,autoestima,desarrollar y estimular a los demás,empatía,autocontrol emocional,influencia,liderazgo,optimismo,relación social,colaboración y cooperación,comprensión organizativa,conciencia crítica,desarrollo de las relaciones,tolerancia a la frustración,comunicacion asertiva,manejo de conflictos,motivación de logro,percepción y comprensión emocional,violencia
vienes ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quedaria lo demas :u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ya repartimos, con el ramiro hacemos la portada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No voy a poder estar presente, surgieron cosas en la casa pero ahí cuando se repartan, lo que sobra es mío. De antemano pido disculpas 🥺",0,0,0,0,0.2,0,0,0,0,0.19,0.15,0,0.17,0.18,0,0.14,0,0,0.16,0
wena los k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es una buena razón que apoyo,0,0,0.28,0,0.35,0,0,0.36,0,0.31,0.23,0,0,0.3,0,0,0,0.38,0.26,0
Y estemos con energia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yo digo que a las 16 para asegurar que todos hayamos comido,0,0,0,0.21,0,0,0,0,0,0,0.31,0,0,0.39,0.15,0.29,0,0.47,0,0
Yo me adapto a la hora que digan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buena buena gente
Hoy a cual de esas horas nos juntamos?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ya chiquillos, coordinemonos los que podamos para poder empezar a trabajar en esto y aprovechar la proxima semana para trabajar",0,0,0,0,0,0,0,0,0,0,0.31,0,0,0.39,0,0.29,0,0.47,0,0
Para ya dividir para vencer y cerrar este ramo,0,0,0.17,0,0,0,0.18,0,0,0,0.28,0,0.16,0.35,0,0.26,0,0.42,0,0
"Pero los que podamos este finde, reunamonos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yo estoy hasta el dick supremo con GPI y paralelas,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El fin de semana tenemos que intentar juntarnos un poco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es velda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tambien, pero hay que ver que puntos separar cachai?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"si, pero es mas facil y comodo separar los puntos",0,0,0.25,0,0,0.22,0,0.32,0.25,0,0,0,0.24,0,0,0,0,0,0,0
"Igual considero que lo ideal en este caso es avanzar todos juntos, para tener ideas en todos los procesos de la creación y desarrollo del departamento",0,0,0,0,0.2,0,0,0,0,0,0.29,0,0.17,0.18,0.28,0.14,0.16,0.22,0,0.27
Encontre varias paginas complementarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cómo procedemos entonces?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicho por la profe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exactamente, en base a lo que hemos visto en clase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuestro proyecto es crear el departamento de recursos humanos?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O sea que si no recibimos info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De hecho lo pregunte en clases por nuestro caso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lo dijo el Lunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mejor pregúntale a la profe que hacer en nuestro caso que no nos dieron la ifmroqmciln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.24,0,0
Estas seguro?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No se si la clase pasada habrán cambiado las cosas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0
Ya que no me respondieron nunca la información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se supone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El 14 hay que presentar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenemos que hacer un departamenteo de recursos humanos para una gran empresa como seria cmpc,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.18,0,0.13,0,0.21,0,0
para empezar a ordenarme,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.18,0,0.13,0,0.21,0,0
"Que pasa gente, vengo a consultar si hay algo que hacer respecto al proyecto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.17,0
"o, a donde le mandaron el video?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
